dataset,target,RMSE,MAE,R2,n
ArcPL all,T,57.69426284258284,48.1486969548263,0.714299704755345,204
ArcPL all,P,2.7209851952075796,2.2018745829732214,0.5689500569351713,204
ArcPL measured H2O,T,54.96832051267721,46.15339523247043,0.7557776369686572,134
ArcPL measured H2O,P,3.0991697571194052,2.5797469196020586,0.532361234816711,134
ArcPL VBD H2O,T,62.582166105470854,51.96827453762182,0.5746226107696234,70
ArcPL VBD H2O,P,1.7861243024112505,1.4785189671408752,0.5943557007778111,70
