track,target,regime,n,v10_pre_rmse,v10_pre_rmse_lo,v10_pre_rmse_hi,v10_pre_method,v10_post_rmse,v10_post_rmse_lo,v10_post_rmse_hi,v10_post_method,correction_form,best_external_rmse,best_external_rmse_lo,best_external_rmse_hi,best_external_method,winner,tabpfn_rmse,tabpfn_rmse_lo,tabpfn_rmse_hi,tabpfn_post_rmse,tabpfn_post_rmse_lo,tabpfn_post_rmse_hi,tabpfn_correction_form,winner_v1,winner_v2,flip_reason,winner_v3,flip_reason_v3
opx_only,T_C,shallow_crustal,48,108.26393553740846,90.89507136454576,122.97443047124844,GB/raw,92.73119203235692,80.75452679154175,106.14438091312554,LightGBM/alr,A,,,,,tabpfn_corrected,123.202864298153,109.729080628506,136.12811982646957,106.2024580906632,94.95709830752656,117.54179918555948,A,tabpfn_corrected,tabpfn_corrected,,v10_corrected,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
opx_only,T_C,deep_crustal_MASH,76,109.4706940925614,86.56489055742749,132.7306617153341,LightGBM/pwlr,107.89217505352087,85.57037156589679,129.9574400931882,LightGBM/alr,A,,,,,tabpfn_corrected,107.44875453411098,91.88036123791228,123.44785203114984,94.40326379627214,78.81525528125599,111.75424912017412,A,tabpfn_corrected,tabpfn_corrected,,tabpfn_corrected,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
opx_only,T_C,lithospheric_mantle,37,70.43110350960167,57.66093129864729,84.5174455043864,ERT/raw,84.23680541474836,70.16793611620179,98.5999054801708,LightGBM/alr,A,,,,,v10_pre,94.81935326272772,80.30599184390327,111.25895693693124,93.9177650046706,78.53672641802571,110.86372905834754,A,v10_pre,v10_pre,,v10_pre,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
opx_only,T_C,deeper_mantle,29,247.6055597185693,167.1849036983914,313.4356851386966,ElasticNet/raw,214.4838254609889,148.88090004815487,272.55890246769087,LightGBM/alr,A,,,,,tabpfn_corrected,283.7938701266099,181.14496607747216,373.6927963407996,223.6938481338403,151.45150363067384,285.6934236524003,A,tabpfn_corrected,tabpfn_corrected,,v10_corrected,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
opx_only,T_C,ALL,190,147.98216692463086,122.7087117014196,172.97094905112644,LightGBM/alr,123.41825480334656,102.24502588597322,143.9548225310879,LightGBM/alr,A,,,,,tabpfn_corrected,149.98795333170574,118.56552569590302,179.52389786872823,125.57635106870477,104.7298483718383,145.6048637288074,A,tabpfn_corrected,tabpfn_corrected,,v10_corrected,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
opx_only,P_kbar,shallow_crustal,48,7.192438024464698,5.665352950361073,8.757453742980598,ERT/raw,1.1311989555320492,0.8328711101182744,1.4564428919430534,RF/pwlr,A,2.197173215181949,1.6926008808713655,2.7174502826109785,Putirka 29c,v10_corrected,10.56902146228752,8.46294554750313,12.494572761404797,1.2231452118537058,0.9863521448836732,1.5014673109724317,A,v10_corrected,v10_corrected,,v10_corrected,
opx_only,P_kbar,deep_crustal_MASH,76,5.205024822393056,4.475533916868693,5.804116714009255,CatBoost/alr,1.9688532154851044,1.639598211491541,2.287348164714805,RF/pwlr,A,4.677560926435676,3.922691324687959,5.364072981212523,Putirka 29c,v10_corrected,6.443725502316508,4.492345944776772,8.436204189994378,2.0307035009252354,1.751814256997258,2.30223159612003,A,v10_corrected,v10_corrected,,v10_corrected,
opx_only,P_kbar,lithospheric_mantle,37,4.030792257493439,2.631395985507982,5.266178491457391,ElasticNet/pwlr,3.3442604129860416,2.73739385251188,4.027790161602164,RF/pwlr,A,5.070795758317184,3.83121037292532,6.154212453253074,Putirka 29c,tabpfn_corrected,6.558815220544893,4.398467493387731,8.572215234496053,3.138453276486358,2.599835076723614,3.662708233989662,A,tabpfn_corrected,tabpfn_corrected,,tabpfn_corrected,
opx_only,P_kbar,deeper_mantle,29,19.64943956013416,7.47897025861602,30.433203043767424,XGB/pwlr,14.553064438884311,8.220047851998663,21.77017969721287,RF/pwlr,A,30.923474603199114,21.451188613809244,38.86229791285133,Putirka 29c,tabpfn_corrected,25.992323267847013,18.95782229379268,32.604025730976225,14.327507881417604,8.563634852169269,21.187811396744827,A,tabpfn_corrected,tabpfn_corrected,,tabpfn_corrected,
opx_only,P_kbar,ALL,190,10.327722797494394,7.006525071742839,14.10101876005092,RF/pwlr,6.031407344742975,3.425870376807905,8.996561312634304,RF/pwlr,A,13.337426168244214,9.322560316429968,17.338844542716142,Putirka 29c,tabpfn_corrected,12.502954827235529,9.88278642760453,14.998210393631252,5.93948005185651,3.601373031326344,8.77651110520412,A,tabpfn_corrected,tabpfn_corrected,,tabpfn_corrected,
cpx_liq,T_C,shallow_crustal,268,41.96459275352568,35.70117491991811,48.41442891624588,RF/pwlr,43.562898378236376,37.00719913985086,50.47411115117157,ERT/pwlr,A,30.09052093171676,25.87483007547621,34.35867503994642,Agreda 2024,external,40.11868349944889,34.124986630960976,46.651610135405015,40.11868349944889,34.124986630960976,46.651610135405015,none,external,external,,external,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
cpx_liq,T_C,deep_crustal_MASH,187,49.18848437306188,39.09557949865116,61.23169143432811,ERT/raw,50.42096227683906,39.86802730940109,63.630234659948975,ERT/pwlr,A,47.52511441844224,35.67542344842888,61.1443992065764,Agreda 2024,external,51.80737665115608,41.926386014760205,64.58018816757259,51.80737665115608,41.926386014760205,64.58018816757259,none,external,external,,external,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
cpx_liq,T_C,lithospheric_mantle,143,74.90377152234805,65.10954068577415,85.3531993419506,XGB/pwlr,78.83423870606188,68.32394378041005,88.6979952882126,ERT/pwlr,A,42.58283614019763,36.47354428476008,48.44673899114178,Agreda 2024,external,71.93372980304805,62.87436585544963,80.29536604669114,71.93372980304805,62.87436585544963,80.29536604669114,none,external,external,,external,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
cpx_liq,T_C,deeper_mantle,56,131.0439680760057,65.01797656683947,195.7230827060503,MLP/pwlr,148.6179735646201,78.48775742396636,214.1100664399059,ERT/pwlr,A,66.11667558955591,57.7928834105256,74.98229691241386,Putirka 33,external,162.94276238431806,92.08846332559042,228.7749962883445,162.94276238431806,92.08846332559042,228.7749962883445,none,external,external,,external,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
cpx_liq,T_C,ALL,654,71.57088937329678,59.34856430894059,85.83921407742562,CatBoost/pwlr,68.95469378350576,56.62060186667404,82.6813323160339,ERT/pwlr,A,63.42823974860093,57.57579389236727,69.45016968514587,Putirka 33,external,69.51144928469044,55.54064367733019,83.69903346068833,69.51144928469044,55.54064367733019,83.69903346068833,none,external,external,,external,"v3_promoted_A: degradation within tolerance max(10, 0.1*pre)"
cpx_liq,P_kbar,shallow_crustal,268,4.967672576540539,4.242506495481923,5.677886911046965,LightGBM/pwlr,0.9944594757267302,0.8634644721600475,1.1235792224868966,LightGBM/pwlr,A,4.175800906077506,3.8953683967773856,4.4401873418130045,Putirka 30,external,5.288218833909601,4.650163954574704,5.9140624409364255,5.288218833909601,4.650163954574704,5.9140624409364255,none,external,external,,v10_corrected,"v3_promoted_A: degradation within tolerance max(1, 0.1*pre)"
cpx_liq,P_kbar,deep_crustal_MASH,187,2.784559412329695,2.3153234135825485,3.2772400627674174,LightGBM/pwlr,1.7193564075294436,1.4940435092534896,1.9602413829546208,LightGBM/pwlr,A,1.9932009132483648,1.72707802873926,2.26216830942678,Agreda 2024,external,4.021605322323997,3.280973111366529,4.738333389719399,4.021605322323997,3.280973111366529,4.738333389719399,none,external,external,,v10_corrected,"v3_promoted_A: degradation within tolerance max(1, 0.1*pre)"
cpx_liq,P_kbar,lithospheric_mantle,143,4.11860389215064,3.5778639296079007,4.6949249019713335,XGB/raw,3.3883075387417136,3.1102508163227207,3.6615480355882335,LightGBM/pwlr,A,3.084601420075871,2.4259245814537085,3.65468722903332,Jorgenson 2022,external,4.145513651381022,3.46907275787613,4.841959627654247,4.145513651381022,3.46907275787613,4.841959627654247,none,external,external,,external,"v3_promoted_A: degradation within tolerance max(1, 0.1*pre)"
cpx_liq,P_kbar,deeper_mantle,56,16.795511549344404,5.292863486278331,25.222213444085284,GB/alr,18.417515144264907,8.621310671796133,27.741207827053024,LightGBM/pwlr,A,10.233071309415353,6.157236813045741,13.95378709244629,Putirka 30,external,20.015734090476595,8.072568194568268,31.52718057182742,20.015734090476595,8.072568194568268,31.52718057182742,none,external,external,,external,"v3_promoted_A: degradation within tolerance max(1, 0.1*pre)"
cpx_liq,P_kbar,ALL,654,6.536933057636693,4.399255205330501,8.898435249263336,LightGBM/pwlr,5.727642021260991,3.147528865670884,8.394135338179959,LightGBM/pwlr,A,5.481340246933859,4.753882630520934,6.317980969217098,Putirka 30,external,7.358434785465184,4.977761857943859,10.240121241274869,7.358434785465184,4.977761857943859,10.240121241274869,none,external,external,,external,"v3_promoted_A: degradation within tolerance max(1, 0.1*pre)"
cpx_only,T_C,shallow_crustal,236,82.18030659436342,71.96996513083889,92.69405563779657,GB/pwlr,89.94829970919403,78.20467911258874,100.50114596566029,ERT/pwlr,none,64.8070795407813,49.936509709680735,80.49002720133636,Jorgenson 2022,external,91.4681693903282,78.82483097906017,103.77008587373014,91.4681693903282,78.82483097906017,103.77008587373014,none,external,external,,external,
cpx_only,T_C,deep_crustal_MASH,193,86.66983578919688,73.62583184428122,101.9258773331632,RF/pwlr,91.12143735577588,75.30954320607056,111.35281070841164,ERT/pwlr,none,56.48590797216706,40.78006243325043,73.44553103525806,Jorgenson 2022,external,82.55832201998074,67.2012305637193,101.95922630886425,82.55832201998074,67.2012305637193,101.95922630886425,none,external,external,,external,
cpx_only,T_C,lithospheric_mantle,213,134.80640893508917,110.74339744041464,162.9086031293329,MLP/pwlr,140.0019344308756,110.79360191362484,166.18919372847722,ERT/pwlr,none,100.5502617137754,76.6933053830991,122.24646013526102,Agreda 2024,external,138.60377676722044,106.56936772126188,169.0839373837402,138.60377676722044,106.56936772126188,169.0839373837402,none,external,external,,external,
cpx_only,T_C,deeper_mantle,142,165.9916230552162,142.54007184627483,187.915262768876,MLP/pwlr,188.17289928370465,161.13360721087602,213.3041697577389,ERT/pwlr,none,197.89122361344,161.37729669509412,228.7214376296607,Jorgenson 2022,v10_pre,206.0975727952059,175.49676953020827,234.58602279994344,206.0975727952059,175.49676953020827,234.58602279994344,none,v10_pre,v10_pre,,v10_pre,
cpx_only,T_C,ALL,784,127.34987708248194,114.36633830048802,140.5058753923805,ERT/pwlr,127.34987615963152,116.14198991899386,139.28047421955077,ERT/pwlr,none,109.9099844820048,96.41508092830222,123.5010339389059,Jorgenson 2022,external,130.80162449860387,117.6535408463442,144.407445507754,130.80162449860387,117.6535408463442,144.407445507754,none,external,external,,external,
cpx_only,P_kbar,shallow_crustal,236,8.327418509075953,7.080032745903107,9.550351939056144,CatBoost/raw,1.1606723479215608,0.9907999818809649,1.3244979572004687,MLP/alr,A,2.8383567577830906,2.4986578546335445,3.2177088984341435,Putirka 32b,v10_corrected,8.065898815804283,6.81016759300726,9.276321547117814,8.065898815804283,6.81016759300726,9.276321547117814,none,v10_corrected,v10_corrected,,v10_corrected,
cpx_only,P_kbar,deep_crustal_MASH,193,3.280432946622577,2.0477850083145497,4.73429817290415,ElasticNet/alr,1.700728834113283,1.510154538369803,1.8695865318532057,MLP/alr,A,1.389891116198294,1.0547521573621177,1.6694170486173834,Jorgenson 2022,external,4.091447655508241,3.20380455094162,5.172691287177099,4.091447655508241,3.20380455094162,5.172691287177099,none,external,external,,external,
cpx_only,P_kbar,lithospheric_mantle,213,8.187222258478306,5.533637180435786,10.816814465043366,ERT/raw,3.883868995909106,3.668870317178322,4.081769431108673,MLP/alr,A,3.826311774144168,3.233819046926093,4.464060080420058,Jorgenson 2022,external,8.636045545500668,6.308724786984882,10.894693729281885,8.636045545500668,6.308724786984882,10.894693729281885,none,external,external,,external,
cpx_only,P_kbar,deeper_mantle,142,18.43202352065768,14.599275800849725,22.1481937869966,GB/alr,25.41440114174206,22.55989860479441,28.6420007165716,MLP/alr,A,24.710640246546088,18.999208186779647,30.316871105337064,Putirka 32a,v10_pre,27.139310363171568,21.3646532550194,32.719399243843625,27.139310363171568,21.3646532550194,32.719399243843625,none,v10_pre,v10_pre,,v10_pre,
cpx_only,P_kbar,ALL,784,13.38548353994582,11.537983534679276,15.312711482363197,MLP/alr,11.054468408928097,9.41749421373487,12.601355571810462,MLP/alr,A,11.827069399048248,9.528170321121683,13.93209429672486,Putirka 32a,v10_corrected,13.318099396847066,11.034823384958996,15.526300399189834,13.318099396847066,11.034823384958996,15.526300399189834,none,v10_corrected,v10_corrected,,v10_corrected,
